article_id,Year,Type,Keywords**,Title,Authors,First Author,Retrieved,Analysis Theme,LLMs Used,Sample Size of Personas/Profiles,Human Participants?, Statistical Methods Used,Effect of Personas on LLM Output,Summary of Results,Prompt Architecture/Methodology,Research Questions,Review Research Question      
A40,2025,LLM-as-a-Judge evaluation,"shortcut bias, LLM-as-a-Judge, provenance cues, recency cues, Verdict Shift Rate, Cue Acknowledgment Rate, unfaithful reasoning, chain-of-thought",The Silent Judge: Unacknowledged Shortcut Bias in LLM-as-a-Judge,"Marioriyad, A. and Rohban, M. H. and Soleymani Baghshah, M.",Marioriyad,Y,quantitative,"GPT-4o, GPT-4o-mini, Claude-3.5-Sonnet, Gemini-1.5-Pro, Llama-3.1-70B-Instruct, Mistral-Large",1200,N,"- Verdict Shift Rate (VSR): proportion of cases where judge changes verdict after cue injection
- Cue Acknowledgment Rate (CAR): proportion of cases where judge explicitly mentions the cue in its reasoning
- McNemar's test for statistical significance of verdict shifts
- Bootstrap 95% confidence intervals
- Analysis split by cue type (provenance: HUMAN/EXPERT/LLM/UNKNOWN; recency: OLD 1950/NEW 2025)",Negative,"This paper investigates whether LLM judges rely on illegitimate shortcut cues—specifically provenance cues (labeling a response as written by a HUMAN, EXPERT, LLM, or UNKNOWN source) and recency cues (labeling content as OLD from 1950 or NEW from 2025)—rather than genuine quality assessment. Across 6 LLMs evaluated on 1,200 instances, all models show significant Verdict Shift Rates when cues are injected, yet low Cue Acknowledgment Rates reveal that models rarely explicitly acknowledge the cues in their chain-of-thought. This unfaithful reasoning—where verdicts shift but reasoning does not reflect the cue—demonstrates that LLM judges exploit shortcuts silently, undermining the trustworthiness of their evaluations even when they appear to reason carefully.","Pairwise evaluation prompt augmented with shortcut cues inserted into response metadata or preamble; provenance cues prepended as bracketed labels (e.g., '[Written by a HUMAN expert]'); recency cues embedded as date stamps (e.g., '[Published in 1950]' vs '[Published in 2025]'); chain-of-thought reasoning elicited before final verdict; baseline condition uses identical prompts without any cue injection.","Do LLM judges shift verdicts in response to illegitimate provenance and recency cues? When verdict shifts occur, do judges explicitly acknowledge the influencing cues in their reasoning (faithful vs. unfaithful shortcut use)? Which cue types (provenance vs. recency, specific labels) elicit the strongest bias?",persona effects on LLM-As-Judge
A41,2024,LLM-as-a-Judge evaluation,"LLM-as-a-Judge, human judges, position bias, verbosity bias, self-preference bias, style bias, cognitive bias, human-LLM comparison",Humans or LLMs as the Judge? A Study on Judgement Biases,"Chen, G. H. and Chen, S. and Liu, Z. and Jiang, F. and Wang, B.",Chen,Y,quantitative,"GPT-4, GPT-3.5-turbo, Claude-2, Claude-instant, Gemini-Pro, LLaMA-2-70B-chat, LLaMA-2-13B-chat, Vicuna-13B, WizardLM-13B, Mistral-7B-Instruct, Qwen-7B-chat",2850,"Y - 60 human judges recruited to evaluate response pairs across the same bias conditions as LLM judges, enabling direct human-LLM comparison on position bias, verbosity bias, self-preference bias, and style bias","- Bias rate calculation per judge per bias type
- Holm-Bonferroni correction for multiple comparisons
- Cohen's kappa for inter-annotator agreement
- Bidirectional stepwise regression with AIC for identifying predictors of bias
- Pairwise vs. list-wise comparison settings compared
- Aggregated bias scores across 4 bias types",Negative,"This study compares 4 types of evaluative bias (position bias, verbosity bias, self-preference bias, style bias) across 60 human judges and 11 LLM judges. Results show that both humans and LLMs exhibit all four bias types, but to different degrees: LLMs show stronger self-preference and verbosity biases than humans, while humans show stronger position bias in some conditions. Among LLMs, larger and more capable models (GPT-4, Claude-2) demonstrate lower overall bias. The paper finds that pairwise comparison settings reduce certain biases compared to list-wise settings, and bidirectional stepwise regression identifies model family, size, and instruction-tuning as significant predictors of bias magnitude.",Pairwise comparison prompts administered under controlled bias conditions: (1) position bias — same pair with A/B order swapped; (2) verbosity bias — one response artificially lengthened; (3) self-preference bias — judge evaluates its own vs. another model's output; (4) style bias — responses reformatted with different stylistic markers; human judges received identical prompts via crowdsourcing platform; LLM judges queried via API with temperature=0.,Do LLMs exhibit the same four bias types as human judges? Which bias types are more pronounced in LLMs versus humans? What model characteristics predict lower evaluative bias? Do pairwise vs. list-wise comparison formats affect bias rates?,persona effects on LLM-As-Judge
A42,2026,LLM-as-a-Judge evaluation,"bias mitigation, LLM-as-a-Judge, debiasing strategies, position bias, verbosity bias, self-preference bias, style bias, calibrated rubric, chain-of-thought, position swap",Judging the Judges: A Systematic Evaluation of Bias Mitigation Strategies in LLM-as-a-Judge Pipelines,"Soumik, S. K.",Soumik,Y,quantitative,"GPT-4o, GPT-3.5-turbo, Claude-3-Sonnet, Llama-3-70B-Instruct, Mistral-Large",4500,N,"- Bias reduction rate per strategy per bias type
- Win rate delta between biased and debiased conditions
- Bootstrap 95% confidence intervals
- Statistical significance testing across 9 strategies × 5 judges × 3 benchmarks × 4 bias types
- Combined budget analysis for cost-effectiveness",Mixed,"This paper provides the most comprehensive systematic comparison of bias mitigation strategies for LLM-as-a-Judge to date, testing 9 debiasing approaches (position swap, calibrated rubric, chain-of-thought prompting, and combinations thereof) across 5 LLM judges on 3 benchmarks targeting 4 bias types. Results show that no single strategy eliminates all bias types simultaneously: position swap effectively reduces position bias but can increase verbosity bias; calibrated rubrics reduce style and verbosity bias but are less effective for position bias; chain-of-thought prompting provides modest improvements across all types; combined strategies offer the best overall debiasing but at higher computational cost. The paper introduces a combined budget framework to help practitioners select cost-effective debiasing strategies given resource constraints.",Nine prompt variants tested: (1) baseline pairwise; (2) position swap (A/B then B/A averaged); (3) calibrated rubric with explicit quality dimensions; (4) chain-of-thought with structured reasoning steps; (5) role-specification instructing judge to be unbiased; (6) few-shot examples of unbiased judgments; (7) combined position swap + rubric; (8) combined position swap + CoT; (9) combined rubric + CoT; all variants use temperature=0.,Which debiasing strategies most effectively reduce each of the four bias types? Do combined strategies outperform individual strategies? What are the cost-effectiveness trade-offs across debiasing approaches? Do mitigation effects generalize across judge models and benchmarks?,persona effects on LLM-As-Judge
A43,2025,LLM-as-a-Judge evaluation,"LLM-as-a-Judge, role-play evaluation, persona identification, role identification, dialogue context, human-aligned evaluation, reasoning models, PersonaEval",PersonaEval: Are LLM Evaluators Human Enough to Judge Role-Play?,"Zhou, L. and Zhang, J. and Gao, J. and Jiang, M. and Wang, D.",Zhou,Y,quantitative,"GPT-3.5-turbo, Qwen-max, Qwen2.5-32B, GPT-4o, DeepSeek-R1-distill-Qwen-32B, GPT-o3-mini, DeepSeek-V3, Doubao-1.5-pro, Qwen3-235B, Kimi-K2, QwQ-32B, Grok-3-beta, GPT-4.1, GLM-4.5, Gemini-2.5-flash, Claude-3.7-sonnet, DeepSeek-R1, Gemini-2.5-pro",28565,"Y - 20 volunteers (10 undergrads + 10 PhD students) evaluated 50 examples each from PersonaEval-Literary, Drama, Expertise tracks","- Top-1 accuracy (primary metric)
- Top-2 accuracy
- Mean Rank (MR)
- Expected Calibration Error (ECE)
- Brier Score (BS)
- Few-shot prompting (1-shot, 3-shot, 5-shot)
- Self-consistency majority voting (MV-3, MV-5)",Negative,"PersonaEval is the first benchmark testing whether LLM evaluators can reliably identify character roles from dialogue context — a necessary prerequisite for credible role-play evaluation. Three tracks (Literary: 26,208 cases from 771 novels; Drama: 1,658 Chinese screenplay snippets; Expertise: 699 Wired '5 Levels' instructional dialogues) present a constrained 4-way classification task with semantically challenging adversarial distractors. State-of-the-art LLMs reach at most 68.8% accuracy (Gemini-2.5-pro), far below the 90.8% achieved by human participants. Fine-tuning on role-specific data degrades performance; few-shot prompting yields modest consistent gains; self-consistency adds negligible benefit. Reasoning models outperform non-reasoning models, pointing to test-time compute as the most promising improvement direction.",Single-turn classification prompt: presents a two-turn dialogue between Character1 (known identity) and Character2 (unknown); provides four candidate role profiles with detailed character descriptions; instructs evaluator to assign Bayesian probability distribution summing to 1 across the four candidates; outputs JSON with candidate names as keys and probabilities as values; candidate order randomized to mitigate position bias.,"Can LLM evaluators reliably identify character roles from dialogue context (a prerequisite for human-aligned role-play evaluation)? Do training-time adaptation (fine-tuning on role data) or test-time compute (few-shot, self-consistency) improve role identification? Why do LLMs lag behind humans on this task?",persona effects on LLM-As-Judge
A44,2026,LLM-as-a-Judge evaluation,"self-preference bias, LLM-as-a-Judge, bias quantification, bias mitigation, equal-quality pairs, Probabilistic Inclination Ratio, Machiavellian Judges, cognitive load decomposition",Quantifying and Mitigating Self-Preference Bias of LLM Judges,"Yang, J. and Hu, Z. and Qiu, C. and Deng, Z. and Jiao, X. and Zhou, T.",Yang,Y,quantitative,"Claude-Sonnet-4.5, Grok-4-Fast, Grok-3-Mini, DeepSeek-V3-0324, DeepSeek-V3.2, DeepSeek-R1-0528, Qwen3-235B-A22B, Kimi-K2-Thinking, GLM-4.5-Air, Llama-3.3-70B-Instruct, Llama-3.1-8B-Instruct, Llama-3.2-3B-Instruct, Gemma-3-12B, Gemma-3-27B, Mistral-Nemo, Hunyuan-A13B-Instruct",2000,"Y - 3 domain experts independently clustered 1,000 anonymized responses to validate equal-quality pair construction (Fleiss' kappa=0.64, 79.8% agreement on hard cases)","- Probabilistic Inclination Ratio (PIR)
- Null-PIR baseline
- SPB score (beta = PIR - Null-PIR)
- Discriminability score
- Spearman rank correlation between two benchmark judges
- One-sided Binomial test
- Two-proportion Z-test
- Bootstrap confidence intervals (1,000 iterations)
- Improvement rate for mitigation
- Fleiss' kappa for inter-annotator agreement",Negative,"This paper introduces a fully automated, gold-standard-free framework to quantify and mitigate Self-Preference Bias (SPB) in LLM judges without relying on human annotations. By constructing equal-quality pairs using two benchmark judges scoring 20 models on 100 AlpacaEval questions, SPB is isolated as the difference between observed and null Probabilistic Inclination Ratio, decoupling self-preference from response quality and style. Analysis reveals a counterintuitive pattern: advanced capabilities are often uncorrelated or negatively correlated with low SPB, introducing the concept of 'Machiavellian Judges' (high discriminability, high SPB). A structured multi-dimensional mitigation strategy reduces SPB by 31.5% on average, costing only $77.81 vs. $5,000–$7,500 for human annotation.","Baseline: pointwise scoring prompt — judge scores each response independently on 5 dimensions (Relevance, Accuracy, Depth, Logic, Clarity) on 0–10 scale; final score = arithmetic mean; double-query design (A/B and B/A) to control position bias. Mitigation: pairwise per-dimension forced-choice — judge must choose between Response A and Response B on each of 5 dimensions before rendering overall verdict by majority vote; single-letter output prompt used to eliminate confounding; temperature=0, top_p=1.","How prevalent is SPB across current LLM judges, and does it manifest as self-favoring or self-disfavoring? Does SPB vary across task types? Do stronger models exhibit lower SPB? Does structured multi-dimensional evaluation effectively mitigate SPB in high-bias models?",persona effects on LLM-As-Judge
A45,2025,LLM-as-a-Judge evaluation,"LLM-as-a-Judge, bias detection, automated bias discovery, JudgeBench-Pro, iterative framework, bias mitigation, DPO, RewardBench, BiasScope",BiasScope: Towards Automated Detection of Bias in LLM-as-a-Judge Evaluation,"Lai, P. and Ou, Z. and Wang, Y. and Wang, L. and Yang, J. and Chen, Y. and Chen, G.",Lai,Y,quantitative,"Qwen2.5-1.5B-Instruct, Qwen2.5-7B-Instruct, Qwen2.5-14B-Instruct, InternLM3-8B-Instruct, Mistral-7B-Instruct-v0.3, LLaMA-3.1-8B-Instruct, Qwen3-8B, Qwen2.5-72B-Instruct (teacher), GPT-4o, DeepSeek-V3, Doubao-seed-1-6, Kimi-K2-Instruct",1178,"Y - 4 researchers with domain expertise manually annotated JudgeBench-Pro samples (inter-annotator agreement Fleiss' kappa=0.92); 1,341 error-prone samples were human-verified","- Error Rate (primary metric: proportion of incorrect judgments)
- Fleiss' Kappa (IAA=0.92)
- Error rate delta between original and BiasScope-perturbed datasets
- Cumulative bias count across iterations (convergence analysis)",Negative,"BiasScope is a fully LLM-driven iterative framework for automatically discovering potential biases in LLM-as-a-Judge systems. It operates in two phases: Bias Discovery (a teacher model perturbs the target dataset using known and newly discovered biases, then uses error cascading via DeeperExplain to surface latent biases) and Bias Validation (biases are tested on a held-out set and retained only if they significantly increase error rates). Applied to 7 open-source target models on RewardBench, BiasScope discovers 14–48 valid biases per model (e.g., Novelty Bias, Exact Match Bias, Confirmation Bias, Length Bias, Explanation Bias) with an average +6.9% error rate increase on JudgeBench-Pro. DPO training on bias-augmented UltraFeedback data reduces error rates on RewardBench, confirming discovered biases are actionable.",Pairwise evaluation following RewardBench protocol; position of candidate responses randomly swapped to mitigate position bias; greedy decoding with fixed random seeds; teacher model generates perturbed variants of rejected responses incorporating specified biases while preserving original outcome; error cascading: model generates deeper explanations for its own erroneous reasoning to surface additional bias signals; max 4 iterations.,Can potential unknown biases in LLM-as-a-Judge systems be discovered automatically and at scale? How do discovered biases vary across model families and scales? Can bias-augmented DPO training mitigate the discovered biases? Is JudgeBench-Pro a more effective benchmark for evaluating judge robustness than JudgeBench?,persona effects on LLM-As-Judge
A46,2025,Evaluation of persona simulation and implementation,"persona generation, LLM-generated personas, silicon samples, persona simulation, population bias, opinion simulation, presidential election, OpinionQA, Meta Persona, Tabular Persona, Descriptive Persona",LLM Generated Persona is a Promise with a Catch,"Li, Ang; Chen, Haozhe; Namkoong, Hongseok; Peng, Tianyi",Li,Y,quantitative,"Athene-70B, Llama-3.1-8B, Llama-3.1-70B, Mistral-8x7B-Instruct-v0.1, Nemetron-70B, Qwen2.5-72B",1000000,N,"- Alignment score: 1 - W(p, p_hat) where W is the Wasserstein distance between simulated and real opinion distributions
- Cross-simulation across 6 language models
- TextBlob sentiment analysis (polarity and subjectivity) of persona profiles
- Normalized variance of alignment scores across persona types per topic (15 topics in OpinionQA)",Negative,"This paper identifies and characterizes a critical source of bias in LLM-driven simulations: bias introduced by the persona generation step itself rather than the simulation model. The authors construct a four-tier taxonomy of persona types — Meta Personas (census-sampled, no LLM generation), Objective Tabular Personas, Subjective Tabular Personas, and Descriptive Personas (LLM generates free-form narrative) — and generate approximately 1,000,000 personas across six open-source LLMs. Evaluated on U.S. presidential elections (2016, 2020, 2024) and 500 OpinionQA questions, results show that as LLM-generated content increases from Meta to Descriptive personas, simulations systematically drift toward politically left-leaning, progressive positions, with every state appearing to vote Democratic in the 2024 simulation using Descriptive personas. Sentiment analysis reveals that LLMs generate increasingly positive, optimistic, and community-oriented personas as generative freedom increases, explaining the observed ideological skew.","Three-tier generation pipeline: (1) Meta Persona — direct sampling from U.S. Census joint distributions with no LLM involvement; (2) Objective Tabular Persona — LLM fills structured template fields constrained to Census Bureau categories; (3) Subjective Tabular Persona — LLM fills open-ended subjective fields (Big Five personality scores, Political Affiliation, Leisure Preferences) guided by diversity-maximizing templates; (4) Descriptive Persona — LLM generates free-form narrative biography conditioned on Meta Persona demographics. Simulation prompt: persona description + multiple-choice question + instruction to select most suitable answer for the persona.",Does the amount of LLM-generated content in a persona profile systematically bias downstream opinion simulations? Is persona generation bias model-specific or universal across simulation LLMs? What characteristics of LLM-generated personas explain observed simulation biases? Can persona-driven simulations faithfully represent real-world population opinion distributions?,persona effects on LLM/agent output
A47,2025,Evaluation of persona simulation and implementation,"sociodemographic persona prompting, role adoption, demographic priming, stereotype bias, semantic diversity, language switching, marked personas, opinion alignment, interview format, name-based priming",The Prompt Makes the Person(a): A Systematic Evaluation of Sociodemographic Persona Prompting for Large Language Models,"Lutz, M. and Sen, I. and Ahnert, G. and Rogers, E. and Strohmaier, M.",Lutz,Y,quantitative,"Llama-3.3-70B-Instruct, Llama-3.1-8B-Instruct, OLMo-2-0325-32B-Instruct, OLMo-2-1124-7B-Instruct, gemma-3-27b-it",165480,Y - 3 human annotators verified role violation classifications on 300 randomly sampled LLM responses (average Cohen's kappa=0.925),"- Number of marked words (Marked Personas framework)
- Semantic diversity: mean pairwise distance of sentence embedding vectors
- Language switching rate detected via lingua library
- Opinion distance: average Wasserstein distance between model and human OpinionQA distributions
- Majority option match on OpinionQA
- OLS regression with standard deviation of each measure as dependent variable",Mixed,"This paper systematically evaluates how the formulation of sociodemographic persona prompts affects LLM simulation quality across 15 intersectional race/gender demographic groups and 3 tasks (Self-Description, Social Media Bio, OpinionQA survey). The authors identify 9 prompt types varying along two axes — role adoption format (Direct, Third Person, Interview) and demographic priming strategy (Explicit, Name, Structured). Key findings: LLMs systematically stereotype marginalized groups with higher marked word counts and lower semantic diversity; interview-style role adoption and name-based demographic priming significantly reduce stereotyping and improve diversity across most models; explicit demographic priming triggers language switching (up to 10.5% non-English responses) for Hispanic personas; smaller models (OLMo-2-7B) outperform larger ones on representativeness. The paper recommends interview format and name-based priming as best practices for sociodemographic persona prompting.","9 prompt templates constructed from 3 role adoption formats × 3 demographic priming strategies. Role adoption — Direct ('You are a [R] [G] who lives in the U.S.'), Third Person ('Think of a [R] [G] who lives in the U.S.'), Interview (Q&A dialogue where interviewer asks demographic questions and interviewee responds confirming identity). Demographic priming — Explicit (e.g., 'a Hispanic woman'), Structured (e.g., 'a person of race Hispanic and gender female'), Name (e.g., 'Ms. Garcia'). 2 alternative phrasings per template; JSON output format enforced; all prompts placed in user message (not system prompt).",Is there a difference in LLMs' ability to simulate different demographic groups (demographic representativeness)? How do different persona prompt types (role adoption format × demographic priming strategy) impact LLM simulation abilities? Do interview-style and name-based prompting strategies reduce stereotyping and improve opinion alignment?,persona effects on LLM/agent output
A48,2026,Evaluation of persona simulation and implementation,"persona bias, agentic benchmarks, role assignment, demographic bias, LLM agents, task performance degradation, robustness",From Biased Chatbots to Biased Agents: Examining Role Assignment Effects on LLM Agent Robustness,"Cao, L. and Sun, L. and Yue, Y.",Cao,Y,quantitative,"GPT-4o-mini, DeepSeek-V3, Qwen3-235B",23,N,"- Task success rate (ALFWorld)
- Reward score (WebShop)
- Win rate (Card Game)
- Command accuracy (OS Interaction)
- Query correctness (Database)
- Percentage change from no-persona baseline",Negative,"Cao, Sun, and Yue tested 23 demographic personas (spanning gender, race/national origin, religion, and profession) assigned to three LLMs across five agentic benchmarks. Persona assignment consistently degraded task performance, with drops of up to 26.2% compared to a no-persona baseline, and the pattern held across all three models and all five task types. The results demonstrate that role assignment introduces systematic performance disparities linked to demographic identity categories rather than improving agent behavior.","Fixed two-turn conversational prefix inserted before each task: User turn: 'From now on, you are a [ROLE]. [Additional role-specific context].' / Assistant turn: 'Of course! I'm here to help you with any questions you have...' — the baseline condition omits this prefix entirely.","Do demographic-based persona assignments degrade LLM agent task performance across diverse agentic benchmarks, and do these effects vary by demographic category, model, or task type?",persona effects on LLM/agent output
A49,2024,Evaluation of persona simulation and implementation,"persona-steered generation, LLM bias, stance generation, demographic steerability, RLHF, DPO, fine-tuning, social bias",Evaluating Large Language Model Biases in Persona-Steered Generation,"Liu, A. and Diab, M. and Fried, D.",Liu,Y,quantitative,"GPT-4, GPT-3.5, Llama-2-7b, Llama-2-13b, Llama-2-70b, Llama-2-7b-chat, Llama-2-70b-chat, Tulu-2-7b, Tulu-2-13b, Tulu-2-70b, Tulu-2-dpo-7b, Tulu-2-dpo-70b",60,Y - 35 human annotators recruited from Prolific to validate GPT-4 evaluations of persona-steered statements across 12 stances,"- Steerability score (% of model outputs classified by GPT-4 as consistent with target stance)
- R-squared (congruent vs. incongruent persona steerability difference)
- F1, Cohen's Kappa (human-model annotation agreement)
- Inter-annotator agreement (pairwise Cohen's Kappa)
- Statistical significance testing at p < 0.05",Mixed,"Liu, Diab, and Fried evaluated the degree to which LLMs can be steered toward specific political, gender, and race-related stances through demographic persona prompting. They found that RLHF- and DPO-tuned models are generally more steerable than SFT models, but steerability varies substantially by stance controversy level. Models fine-tuned with RLHF or DPO show higher average steerability but still fail to reliably flip outputs for highly controversial stances, indicating partial but inconsistent persona adherence.","Persona variables prepended to stance-generation tasks as a demographic profile block (race/ethnicity, gender, age, political orientation, and behavioral variables) followed by the target question, using a multiple-choice answer format; evaluated zero-shot with both congruent and incongruent demographic personas.","To what extent can LLMs be steered toward specific social and political stances through demographic persona prompting, and how does fine-tuning method (RLHF, DPO, SFT) affect steerability?",persona effects on LLM/agent output
A50,2024,Evaluation of persona simulation and implementation,"synthetic personas, CHI research, LLM-generated personas, persona transparency, HCI, user research, meta-analysis, design methods",Whose Personae? Synthetic Persona Experiments in LLM Research and Pathways to Transparency,"Batzner, J. and Stocker, V. and Tang, B. and Natarajan, A. and Chen, Q. and Schmid, S. and Kasneci, G.",Batzner,Y,mixed,"GPT-3.5, GPT-4",,"Y - human evaluators and UX practitioners assessed LLM-generated personas for realism, completeness, and usability in design contexts","- Qualitative content analysis of LLM-generated personas
- Comparative evaluation of human-authored vs. LLM-generated personas
- Thematic coding of persona attributes",Mixed,"Schuller et al. reviewed and empirically examined how synthetic personas generated by LLMs are used in CHI and HCI research, identifying gaps in methodological transparency and reporting standards. The paper found that LLM-generated personas can match the surface-level richness of human-authored personas but often lack grounding in empirical user data and may introduce stereotypical representations. The authors propose pathways toward greater transparency in the reporting of synthetic persona experiments, including documentation of generation methods, validation procedures, and limitations.","Personas generated via open-ended prompts asking LLMs to produce user personas for specified demographic profiles or product contexts; prompts varied across studies reviewed and in the authors' own experiments, with no standardized template.","How are synthetic LLM-generated personas currently used in HCI/CHI research? What are the transparency and validity concerns, and what best practices can guide responsible use?",persona effects on LLM/agent output
A51,2025,Novel method or framework for persona implementation,"Mixture-of-Personas, population simulation, synthetic data generation, diversity, text classification, LLM fine-tuning, data augmentation, persona mixing",Mixture-of-Personas Language Models for Population Simulation,"Bui, N. and Nguyen, H. T. and Kumar, S. and Theodore, J. and Qiu, W. and Nguyen, V. A. and Ying, R.",Bui,Y,quantitative,Llama-3.3-70B-Instruct,,N,"- Fréchet Inception Distance (FID) for text
- MAUVE score
- Kullback-Leibler Cosine (KL Cosine) divergence
- Cosine similarity between synthetic and real embeddings
- Classification accuracy on downstream tasks (AGNews, Yelp, SST-2, IMDB)",Positive,"This paper introduces Mixture-of-Personas (MoP), a framework for population simulation in which LLMs embody a mixture of diverse persona descriptions derived from real user data to generate synthetic training corpora. MoP constructs per-author persona descriptions from writing samples, then conditions generation on those personas using a system prompt, enabling the synthetic data to reflect realistic population-level diversity rather than a homogenized LLM default. Experiments across four text classification datasets show that MoP-generated data achieves substantially lower FID and higher MAUVE scores compared to class-conditioned and attribute-conditioned baselines, while also improving downstream classification accuracy.","System prompt: 'You embody the persona in the description to complete the tasks.' followed by user turn specifying the writing task and an example blurb/review; persona descriptions are LLM-synthesized from real user writing samples via a persona generation prompt, then mixed via a persona-mixing prompt that synthesizes multiple persona descriptions into a unified profile.",Can a mixture-of-personas approach to LLM-based data generation produce synthetic corpora that better reflect real population diversity and improve downstream NLP task performance compared to non-persona baselines?,persona effects on LLM/agent output
A52,2025,Evaluation of persona simulation and implementation,"lexical diversity, synthetic data, PersonaHub, fine-grained personas, coarse personas, compression ratio, n-gram diversity, homogenization, creative writing",Measuring Lexical Diversity of Synthetic Data Generated through Fine-Grained Persona Prompting,"Kambhatla, G. and Shaib, C. and Govindarajan, V. S.",Kambhatla,Y,mixed,"Llama-3.3-70B-Instruct, Deepseek-V3-0324",100,N,"- Compression ratio (CR)
- CR-POS (part-of-speech-filtered CR)
- N-gram diversity score (NDS)
- Self-repetition (SR)
- Homogenization BERTScore (Hom. BS)
- Flesch-Kincaid readability grade (FK)
- Gunning Fog index (GF)
- Bootstrap significance test (p < 0.05)
- Levene's Test for equal variances
- Spearman's rank correlation",Mixed,"Kambhatla, Shaib, and Govindarajan evaluated whether prompting LLMs with fine-grained PersonaHub persona descriptions increases lexical diversity in generated creative writing compared to no-persona and coarse-persona baselines, using 100 personas and 100 Dolly creative-writing prompts. They found that persona prompting does increase some diversity metrics for Deepseek-V3-0324 but not consistently for Llama-3.3-70B-Instruct, and that fine-grained personas do not reliably outperform coarse persona descriptions on most measures. The results suggest that the diversity benefits of persona prompting are model-dependent and metric-dependent, raising caution about assuming fine-grained persona descriptions automatically produce more diverse outputs.",'Assume you are the following persona: {persona}. Now respond to the following question/instruction appropriately from the perspective of the above persona in {num_words_round} words or less: {question}' — compared against a no-persona baseline and a coarse-persona baseline where only a brief demographic label is provided.,(1) Does prompting with personas lead to increased lexical diversity in LLM responses for the same instruction? (2) Do fine-grained persona descriptions lead to more diverse responses than coarse personas?,persona effects on LLM/agent output
A53,2025,Novel method or framework for persona implementation,"population-aligned personas, social simulation, optimal transport, importance sampling, psychometric alignment, World Values Survey, Big Five personality, blog data",Population-Aligned Persona Generation for LLM-based Social Simulation,"Hu, Z. and Lian, J. and Xiao, Z. and Xiong, M. and Lei, Y. and Wang, T. and Xie, X.",Hu,Y,quantitative,"Llama-3-70B-Instruct, Qwen2.5-72B-Instruct, Phi-4",,"Y - psychometric and behavioral survey datasets from real human participants used as alignment targets (Big Five IPIP: 1,015,341 responses; WVS: 97,221; YRBSS: 20,103; FBPS: 41,841; Duckworth: 4,270)","- Averaged Monotonic Wasserstein distance (AMW)
- Fréchet Distance (FD)
- Sliced Wasserstein Distance (SW)
- Maximum Mean Discrepancy (MMD)
- Pearson correlation MAE (inter-trait consistency)
- Kernel Density Estimation (KDE) with Gaussian kernel
- Entropic Optimal Transport (Sinkhorn algorithm)
- Contrastive embedding loss",Positive,"Trovato et al. propose a two-stage framework for generating population-aligned personas for LLM-based social simulation: Stage 1 mines seed personas from real blog data and aligns them to human psychometric distributions via KDE-based importance sampling and entropic optimal transport; Stage 2 adapts globally aligned personas to specific demographic groups via contrastive embedding retrieval and LLM-based refinement. Evaluation against large-scale psychometric datasets shows that MoP-aligned personas substantially reduce distributional divergence from real human response distributions compared to unaligned LLM baselines, while preserving inter-trait correlations. The framework also supports group-specific adaptation to regional subpopulations (U.S., East Asia, Europe).","Stage 1 persona generation: Llama-3.3-70B-Instruct with specialized cleaning, quality-control, and persona-synthesis prompts extracts third-person narrative persona paragraphs from blog posts. Stage 2 group adaptation: seed personas are refined via LLM prompts specifying target country/group context (e.g., 'Transform the seed to be a persona from Hong Kong with a worldview, social trust level, and cultural identity representative of the general populace.'). Synthesis prompt uses system role 'You are a helpful AI assistant' with structured user instructions for persona generation.","Can LLM-generated personas be aligned to real human population-level psychometric distributions, and can a retrieval-and-refinement framework further adapt globally aligned personas to specific demographic or regional subgroups for social simulation?",persona effects on LLM/agent output
A54,2025,Evaluation of persona simulation and implementation,"LLM persona misalignment, low-resource settings, Bangladesh, Persona Perception Scale, cultural context, Pollyanna bias, human vs LLM personas, cross-cultural AI",Misalignment of LLM-Generated Personas with Human Perceptions in Low-Resource Settings,"Prama, T. T. and Danforth, C. M. and Dodds, P. S.",Prama,Y,mixed,"GPT-5o, GPT-4.1, GPT-4o, Grok, Llama 3.3, DeepSeek, AI21 Jamba 1.5 Large",8,"Y - human participants from Bangladesh who identified with one of the eight personas answered the same questionnaire items; 2080 annotation instances, majority-vote labeling by 3 expert annotators","- Classification accuracy (% of model outputs rated 'fully agree' by majority-vote annotators)
- Persona Perception Scale (PPS) scores on 7-point Likert scale across 6 dimensions (Clarity, Completeness, Consistency, Credibility, Empathy, Likability)
- Word shift graphs (labMT sentiment dictionary)
- Descriptive statistics (mean ± SD per model per persona)",Negative,"Prama, Danforth, and Dodds compared LLM-generated persona responses to real human responses across eight culturally specific Bangladeshi personas (spanning gender, religion, and political affiliation) on a 100-question dataset covering politics, religion, and gender topics. Seven LLMs consistently underperformed human annotators (human accuracy ~87%; best LLM GPT-5o at 61.7%), with the largest deficits in Credibility and Empathy on the Persona Perception Scale. Sentiment analysis using word shift graphs revealed a systematic 'Pollyanna Principle' bias in LLM responses — over-use of positive vocabulary and suppression of negative terms — which undermined emotional authenticity in conflict-laden cultural contexts.","'You are a <persona> from Bangladesh. Your responses should closely mirror the knowledge and abilities of this persona.' — applied uniformly across all eight personas; persona categories (political: AL/BNP, gender: Male/Female, religion: Muslim/Hindu/Christian/Buddhist) defined by opposing characteristic pairs drawn from participant demographics.","Do LLM-generated personas accurately represent culturally specific human identities in low-resource settings (Bangladesh), and where do systematic misalignments occur across gender, religion, and political dimensions?",persona effects on LLM/agent output
